CID		CRID	tagTime			    tp	state   price	transfer  getout
1000	11		2014 11 7 17 2 57	1		1	100		0			0
1001	11		2014 11 4 23 35 07	1		1	200		0			0
1002	10		2014 11 3 8 26 30	0		0	300		0			0
1003	11		2014 11 4 23 30 44	1		1	400		0			0
1004	11		2014 11 4 23 36 52	1		1	500		0			0
1005	21		2014 11 3 8 27 15	0		1	600		1			0
1006	30		2014 11 3 8 27 30	1		0	700		0			0
1001	31		2014 11 3 8 27 45	1		0	800		1			0
1002	40		2014 11 3 8 28 00	1		0	900		0			0
1003	41		2014 11 3 8 28 15	1		1	1000	1			0
1004	11		2014 11 4 23 34 28	1		1	1100	0			0
1005	11		2014 11 4 23 34 28	1		1	1200	0			0
